TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2020,24,29.6,26.3,88,23.5,3.4,6,280,2,C 
02-01-2020,24.2,32.8,28.5,82,12.4,0,9,280,3,W 
03-01-2020,25.8,32,28.2,82,0,8.3,12,300,5,NW
04-01-2020,26.2,31.6,28.3,82,0.4,5.8,8,300,5,W 
05-01-2020,26.4,32.6,27.7,84,0.1,2.1,14,270,4,NW
06-01-2020,23.6,32.8,26.8,89,64.5,1.9,9,320,3,NW
07-01-2020,24.2,32.2,28.2,83,59.3,5.1,11,310,4,W 
08-01-2020,25.2,31,27.8,86,31,5.9,11,300,4,W 
09-01-2020,26,31.6,28.6,82,0,4.8,5,140,2,NW
10-01-2020,25.8,31.2,27.3,86,0.4,5.2,10,240,2,W 
11-01-2020,25.4,31.8,27.9,82,9,5,10,300,3,NW
12-01-2020,25.4,32.4,28.3,79,0.1,1.8,8,320,4,NW
13-01-2020,26,32.4,28.8,80,0,3.5,10,300,4,NW
14-01-2020,26.4,33.4,29.2,80,0,2.4,11,300,3,NW
15-01-2020,25.8,31.8,28.5,84,0,9.6,6,130,2,C 
16-01-2020,26.2,33.6,29.8,78,0,9.9,6,150,2,C 
17-01-2020,26,33.4,29.7,78,0,10.9,6,270,1,C 
18-01-2020,25.6,32.4,28.1,87,0,7.7,5,30,1,C 
19-01-2020,25.8,32,28.3,88,10,7.7,4,210,1,C 
20-01-2020,25.4,30.8,27.4,91,5.2,5,9,320,1,C 
21-01-2020,25.6,33.4,28.8,83,7.6,4.4,10,300,2,C 
22-01-2020,26,31.4,28.2,86,0.6,8.1,8,90,2,C 
23-01-2020,26.4,31.6,28,84,15.4,6.1,4,110,1,C 
24-01-2020,26,32.6,29.1,84,0,1.1,5,300,1,C 
25-01-2020,26.4,33.2,29.5,79,0,10.3,4,270,1,NW
26-01-2020,27,34,30,79,3.2,8.9,4,150,1,C 
27-01-2020,25.6,32.4,29.1,82,3.2,9.6,3,150,1,C 
28-01-2020,25.4,33.2,29,84,29,5.7,9,310,2,C 
29-01-2020,25.8,33.4,29,83,3.5,8.6,5,150,2,NW
30-01-2020,26.4,34.4,28,86,0,9.8,19,300,4,NW
31-01-2020,24.2,32,26.8,91,46.8,5,7,300,2,NW
01-02-2020,25.2,31.6,27.4,90,62.4,3.4,6,330,2,C 
02-02-2020,24.4,32,28.1,86,19.2,6,7,280,2,C 
03-02-2020,25.4,31.8,27,90,1.1,3.7,9,300,2,NW
04-02-2020,25.4,32.4,28.2,86,10.8,6.3,5,120,1,C 
